AIRLINE,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,DISTANCE
SkyWest Airlines Inc.,SYR,"Syracuse, NY",DEN,"Denver, CO",1492.0
Republic Airline,CMH,"Columbus, OH",EWR,"Newark, NJ",463.0
Delta Air Lines Inc.,MSN,"Madison, WI",ATL,"Atlanta, GA",707.0
PSA Airlines Inc.,CLT,"Charlotte, NC",EWN,"New Bern/Morehead/Beaufort, NC",221.0
United Air Lines Inc.,EWR,"Newark, NJ",SFO,"San Francisco, CA",2565.0
SkyWest Airlines Inc.,FAT,"Fresno, CA",SLC,"Salt Lake City, UT",501.0
SkyWest Airlines Inc.,ORD,"Chicago, IL",AVL,"Asheville, NC",536.0
SkyWest Airlines Inc.,FWA,"Fort Wayne, IN",MSP,"Minneapolis, MN",488.0
Delta Air Lines Inc.,LGA,"New York, NY",IAH,"Houston, TX",1416.0
SkyWest Airlines Inc.,LAN,"Lansing, MI",DTW,"Detroit, MI",74.0
Delta Air Lines Inc.,SEA,"Seattle, WA",MSP,"Minneapolis, MN",1399.0
United Air Lines Inc.,SFO,"San Francisco, CA",SEA,"Seattle, WA",679.0
Delta Air Lines Inc.,HNL,"Honolulu, HI",SEA,"Seattle, WA",2677.0
Envoy Air,BNA,"Nashville, TN",TPA,"Tampa, FL",612.0
American Airlines Inc.,SMF,"Sacramento, CA",PHX,"Phoenix, AZ",647.0
Envoy Air,ABI,"Abilene, TX",DFW,"Dallas/Fort Worth, TX",158.0
JetBlue Airways,JFK,"New York, NY",BQN,"Aguadilla, PR",1576.0
Endeavor Air Inc.,ICT,"Wichita, KS",MSP,"Minneapolis, MN",545.0
American Airlines Inc.,PHL,"Philadelphia, PA",CLT,"Charlotte, NC",449.0
Endeavor Air Inc.,ATL,"Atlanta, GA",MOB,"Mobile, AL",302.0
Horizon Air,LAX,"Los Angeles, CA",BOI,"Boise, ID",674.0
Republic Airline,DCA,"Washington, DC",LGA,"New York, NY",214.0
United Air Lines Inc.,FLL,"Fort Lauderdale, FL",ORD,"Chicago, IL",1182.0
United Air Lines Inc.,SLC,"Salt Lake City, UT",IAH,"Houston, TX",1195.0
Southwest Airlines Co.,RDU,"Raleigh/Durham, NC",LAS,"Las Vegas, NV",2026.0
Delta Air Lines Inc.,JFK,"New York, NY",DFW,"Dallas/Fort Worth, TX",1391.0
Envoy Air,CMI,"Champaign/Urbana, IL",ORD,"Chicago, IL",135.0
Alaska Airlines Inc.,IAD,"Washington, DC",LAX,"Los Angeles, CA",2288.0
Envoy Air,RDU,"Raleigh/Durham, NC",MIA,"Miami, FL",700.0
Mesa Airlines Inc.,MAF,"Midland/Odessa, TX",IAH,"Houston, TX",429.0
Southwest Airlines Co.,OAK,"Oakland, CA",PHX,"Phoenix, AZ",646.0
Republic Airline,IAD,"Washington, DC",IND,"Indianapolis, IN",476.0
Southwest Airlines Co.,MSY,"New Orleans, LA",AUS,"Austin, TX",444.0
Southwest Airlines Co.,MCO,"Orlando, FL",BUF,"Buffalo, NY",1011.0
Republic Airline,IND,"Indianapolis, IN",LGA,"New York, NY",660.0
Southwest Airlines Co.,EUG,"Eugene, OR",LAS,"Las Vegas, NV",700.0
Southwest Airlines Co.,IAH,"Houston, TX",DAL,"Dallas, TX",216.0
Republic Airline,MIA,"Miami, FL",SDF,"Louisville, KY",910.0
SkyWest Airlines Inc.,CHA,"Chattanooga, TN",ATL,"Atlanta, GA",106.0
PSA Airlines Inc.,BTV,"Burlington, VT",CLT,"Charlotte, NC",761.0
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",SFO,"San Francisco, CA",337.0
SkyWest Airlines Inc.,ORD,"Chicago, IL",DTW,"Detroit, MI",235.0
Spirit Air Lines,LAX,"Los Angeles, CA",IAH,"Houston, TX",1379.0
Southwest Airlines Co.,DEN,"Denver, CO",FLL,"Fort Lauderdale, FL",1703.0
Endeavor Air Inc.,STL,"St. Louis, MO",LGA,"New York, NY",888.0
American Airlines Inc.,BOS,"Boston, MA",DFW,"Dallas/Fort Worth, TX",1562.0
Delta Air Lines Inc.,ATL,"Atlanta, GA",RDU,"Raleigh/Durham, NC",356.0
Spirit Air Lines,FLL,"Fort Lauderdale, FL",PHL,"Philadelphia, PA",992.0
JetBlue Airways,DCA,"Washington, DC",SJU,"San Juan, PR",1554.0
American Airlines Inc.,RSW,"Fort Myers, FL",DFW,"Dallas/Fort Worth, TX",1017.0
Alaska Airlines Inc.,SEA,"Seattle, WA",IND,"Indianapolis, IN",1866.0
United Air Lines Inc.,PDX,"Portland, OR",SFO,"San Francisco, CA",550.0
Alaska Airlines Inc.,SNA,"Santa Ana, CA",SEA,"Seattle, WA",978.0
Spirit Air Lines,MCO,"Orlando, FL",IAH,"Houston, TX",854.0
United Air Lines Inc.,DEN,"Denver, CO",ORD,"Chicago, IL",888.0
American Airlines Inc.,CMH,"Columbus, OH",CLT,"Charlotte, NC",347.0
Spirit Air Lines,PIT,"Pittsburgh, PA",MCO,"Orlando, FL",834.0
Hawaiian Airlines Inc.,OGG,"Kahului, HI",HNL,"Honolulu, HI",100.0
Republic Airline,LGA,"New York, NY",CHS,"Charleston, SC",641.0
PSA Airlines Inc.,CLT,"Charlotte, NC",GRR,"Grand Rapids, MI",583.0
Southwest Airlines Co.,MSP,"Minneapolis, MN",MDW,"Chicago, IL",349.0
Southwest Airlines Co.,MDW,"Chicago, IL",MCO,"Orlando, FL",990.0
American Airlines Inc.,PHL,"Philadelphia, PA",MIA,"Miami, FL",1013.0
Southwest Airlines Co.,STL,"St. Louis, MO",SAT,"San Antonio, TX",786.0
ExpressJet Airlines LLC d/b/a aha!,HRL,"Harlingen/San Benito, TX",IAH,"Houston, TX",295.0
SkyWest Airlines Inc.,SLC,"Salt Lake City, UT",HLN,"Helena, MT",402.0
